length_scale,noise_level,alpha,train_xy_rmse,train_xy_mae,val_xy_rmse,val_xy_mae
0.5,0.001,0.0001,0.08417028365231857,0.06485413755445112,0.10014045921171769,0.07663802055061604
1.0,0.01,0.0001,0.0841702285225222,0.06485407525483874,0.10014045423988366,0.07663802144870269
2.0,0.01,0.001,0.08417029402136803,0.06485414623999382,0.1001404617158526,0.07663802407323099
3.0,0.1,0.001,0.08417031545807806,0.06485416937055109,0.10014046341207553,0.07663802103366377
