length_scale,noise_level,alpha,train_xy_rmse,train_xy_mae,val_xy_rmse,val_xy_mae
0.5,0.001,0.0001,0.07174427417681829,0.05479721511465501,0.09812011348722725,0.07083860057888403
1.0,0.01,0.0001,0.07174428051139456,0.054797220053845505,0.09812011371149261,0.07083860077395593
2.0,0.01,0.001,0.07174427274071465,0.05479721389640898,0.09812011286803463,0.07083860003408053
3.0,0.1,0.001,0.07174428704332332,0.05479722740324815,0.09812011402979455,0.0708385989048766
